student_id,first_name,last_name,graduation_year,major,dietary_restrictions,hometown,residence_hall,meal_plan,gpa,email
STU001,Emma,Johnson,2025,Computer Science,Vegetarian,"Seattle, WA",Thornton Hall,Unlimited,3.7,emma.johnson@university.edu
STU002,Liam,Chen,2026,Biology,None,"San Francisco, CA",Morrison Tower,14 Meals,3.9,liam.chen@university.edu
STU003,Sophia,Rodriguez,2024,Psychology,Gluten-Free,"Austin, TX",Riverside Dorms,10 Meals,3.5,sophia.rodriguez@university.edu
STU004,Noah,Patel,2027,Engineering,Vegan,"Chicago, IL",North Campus,Unlimited,3.8,noah.patel@university.edu
STU005,Olivia,Thompson,2025,English Literature,Lactose Intolerant,"Portland, OR",Sunset Village,14 Meals,3.6,olivia.thompson@university.edu
STU006,Ethan,Williams,2026,Mathematics,None,"Denver, CO",Thornton Hall,Unlimited,3.4,ethan.williams@university.edu
STU007,Ava,Brown,2024,Art History,Vegetarian,"Boston, MA",Morrison Tower,10 Meals,3.8,ava.brown@university.edu
STU008,Mason,Davis,2027,Physics,None,"Miami, FL",Riverside Dorms,14 Meals,3.9,mason.davis@university.edu
STU009,Isabella,Wilson,2025,Business Administration,Kosher,"New York, NY",North Campus,Unlimited,3.7,isabella.wilson@university.edu
STU010,Lucas,Garcia,2026,Chemistry,None,"Los Angeles, CA",Sunset Village,14 Meals,3.5,lucas.garcia@university.edu
STU011,Mia,Miller,2024,Sociology,Halal,"Houston, TX",Thornton Hall,10 Meals,3.6,mia.miller@university.edu
STU012,Aiden,Martinez,2027,Music,Vegetarian,"Phoenix, AZ",Morrison Tower,Unlimited,3.8,aiden.martinez@university.edu
STU013,Charlotte,Anderson,2025,Environmental Science,Vegan,"Minneapolis, MN",Riverside Dorms,14 Meals,3.9,charlotte.anderson@university.edu
STU014,Jackson,Taylor,2026,Political Science,None,"Atlanta, GA",North Campus,Unlimited,3.4,jackson.taylor@university.edu
STU015,Amelia,Thomas,2024,Philosophy,Gluten-Free,"Nashville, TN",Sunset Village,10 Meals,3.7,amelia.thomas@university.edu
STU016,Logan,Hernandez,2027,Mechanical Engineering,None,"San Diego, CA",Thornton Hall,14 Meals,3.8,logan.hernandez@university.edu
STU017,Harper,Moore,2025,Theater Arts,Lactose Intolerant,"Las Vegas, NV",Morrison Tower,Unlimited,3.5,harper.moore@university.edu
STU018,Benjamin,Jackson,2026,Economics,None,"Detroit, MI",Riverside Dorms,14 Meals,3.6,benjamin.jackson@university.edu
STU019,Evelyn,White,2024,Neuroscience,Vegetarian,"Baltimore, MD",North Campus,10 Meals,3.9,evelyn.white@university.edu
STU020,Alexander,Lee,2027,Anthropology,None,"Sacramento, CA",Sunset Village,Unlimited,3.7,alexander.lee@university.edu
STU021,Abigail,Harris,2025,Journalism,Kosher,"Cleveland, OH",Thornton Hall,14 Meals,3.4,abigail.harris@university.edu
STU022,Michael,Clark,2026,International Relations,None,"Orlando, FL",Morrison Tower,Unlimited,3.8,michael.clark@university.edu
STU023,Emily,Lewis,2024,Graphic Design,Vegan,"Salt Lake City, UT",Riverside Dorms,10 Meals,3.6,emily.lewis@university.edu
STU024,William,Robinson,2027,Pre-Med,None,"Kansas City, MO",North Campus,14 Meals,3.9,william.robinson@university.edu
STU025,Madison,Walker,2025,Statistics,Gluten-Free,"Raleigh, NC",Sunset Village,Unlimited,3.5,madison.walker@university.edu
STU026,James,Young,2026,Film Studies,Lactose Intolerant,"Memphis, TN",Thornton Hall,14 Meals,3.7,james.young@university.edu
STU027,Elizabeth,Allen,2024,Marketing,None,"Louisville, KY",Morrison Tower,10 Meals,3.8,elizabeth.allen@university.edu
STU028,Henry,King,2027,Astronomy,Vegetarian,"Richmond, VA",Riverside Dorms,Unlimited,3.6,henry.king@university.edu
STU029,Avery,Wright,2025,Social Work,Halal,"Oklahoma City, OK",North Campus,14 Meals,3.9,avery.wright@university.edu
STU030,Sebastian,Lopez,2026,Architecture,None,"Albuquerque, NM",Sunset Village,Unlimited,3.4,sebastian.lopez@university.edu
