student_id,first_name,last_name,graduation_year,major,dietary_restrictions,hometown,residence_hall,meal_plan,gpa,email
STU261,Sage,Riverstone,2025,Biomedical Engineering,None,"Portland, OR",Tech Hub,Flex Plan,3.7,sage.riverstone@university.edu
STU262,Phoenix,Goldwater,2026,Quantum Computing,Vegetarian,"Boulder, CO",Innovation House,14 Meals,3.9,phoenix.goldwater@university.edu
STU263,River,Stormwind,2024,Marine Biology,Vegan,"San Diego, CA",Oceanview Hall,Unlimited,3.5,river.stormwind@university.edu
STU264,Luna,Nightshade,2027,Astrophysics,Gluten-Free,"Austin, TX",Observatory Tower,10 Meals,3.8,luna.nightshade@university.edu
STU265,Atlas,Ironforge,2025,Materials Science,None,"Pittsburgh, PA",Engineering Commons,14 Meals,3.6,atlas.ironforge@university.edu
STU266,Willow,Brightwater,2026,Environmental Engineering,Lactose Intolerant,"Seattle, WA",Green Living,Unlimited,3.4,willow.brightwater@university.edu
STU267,Orion,Stargaze,2024,Computer Science,Kosher,"New York, NY",Digital Dormitory,Flex Plan,3.9,orion.stargaze@university.edu
STU268,Nova,Moonbeam,2027,Art Therapy,Halal,"Chicago, IL",Creative Commons,10 Meals,3.7,nova.moonbeam@university.edu
STU269,Forest,Willowbrook,2025,Forestry Science,None,"Portland, ME",Natural Hall,14 Meals,3.5,forest.willowbrook@university.edu
STU270,Ocean,Deepwater,2026,Oceanography,Vegetarian,"Miami, FL",Coastal Commons,Unlimited,3.8,ocean.deepwater@university.edu
STU271,Storm,Thunderbolt,2024,Meteorology,Vegan,"Oklahoma City, OK",Weather Station,14 Meals,3.6,storm.thunderbolt@university.edu
STU272,Sky,Cloudwalker,2027,Aerospace Engineering,None,"Houston, TX",Flight Tower,10 Meals,3.9,sky.cloudwalker@university.edu
STU273,Reed,Marshland,2025,Wetland Ecology,Gluten-Free,"New Orleans, LA",Bayou Hall,Flex Plan,3.4,reed.marshland@university.edu
STU274,Vale,Mountainview,2026,Geological Sciences,Lactose Intolerant,"Denver, CO",Rocky Ridge,Unlimited,3.7,vale.mountainview@university.edu
STU275,Ember,Firelight,2024,Chemical Engineering,Kosher,"Phoenix, AZ",Desert Oasis,14 Meals,3.8,ember.firelight@university.edu
STU276,Frost,Winterborne,2027,Climate Science,Halal,"Minneapolis, MN",Nordic Hall,10 Meals,3.5,frost.winterborne@university.edu
STU277,Dawn,Sunrise,2025,Solar Engineering,None,"San Francisco, CA",Solar Commons,Flex Plan,3.6,dawn.sunrise@university.edu
STU278,Dusk,Twilight,2026,Astronomy,Vegetarian,"Los Angeles, CA",Starlight Tower,14 Meals,3.9,dusk.twilight@university.edu
STU279,Sage,Herbweaver,2024,Pharmaceutical Sciences,Vegan,"Portland, OR",Wellness Wing,Unlimited,3.7,sage.herbweaver@university.edu
STU280,Jade,Gemstone,2027,Mineralogy,None,"Salt Lake City, UT",Crystal Hall,10 Meals,3.4,jade.gemstone@university.edu
STU281,Coral,Reefwalker,2025,Marine Conservation,Gluten-Free,"Key West, FL",Aquatic Center,14 Meals,3.8,coral.reefwalker@university.edu
STU282,Flint,Rockwell,2026,Mining Engineering,Lactose Intolerant,"Boise, ID",Mountain Lodge,Flex Plan,3.5,flint.rockwell@university.edu
STU283,Clay,Earthshaper,2024,Ceramics Engineering,Kosher,"Santa Fe, NM",Adobe Commons,Unlimited,3.6,clay.earthshaper@university.edu
STU284,Stone,Quarrymaster,2027,Construction Management,Halal,"Las Vegas, NV",Builder Hall,14 Meals,3.9,stone.quarrymaster@university.edu
STU285,Brook,Streamflow,2025,Hydrology,None,"Madison, WI",Riverside Residence,10 Meals,3.7,brook.streamflow@university.edu
STU286,Ridge,Peakview,2026,Mountain Geology,Vegetarian,"Bozeman, MT",Alpine Lodge,Flex Plan,3.4,ridge.peakview@university.edu
STU287,Canyon,Redrock,2024,Geological Survey,Vegan,"Flagstaff, AZ",Mesa Hall,14 Meals,3.8,canyon.redrock@university.edu
STU288,Prairie,Grassland,2027,Agricultural Engineering,None,"Omaha, NE",Plains Commons,Unlimited,3.5,prairie.grassland@university.edu
STU289,Meadow,Fieldstone,2025,Botany,Gluten-Free,"Burlington, VT",Meadowbrook,10 Meals,3.6,meadow.fieldstone@university.edu
STU290,Grove,Oakenheart,2026,Dendrology,Lactose Intolerant,"Asheville, NC",Forest Hall,14 Meals,3.9,grove.oakenheart@university.edu
STU291,Thorne,Wildwood,2024,Wildlife Management,Kosher,"Yellowstone, WY",Ranger Station,Flex Plan,3.7,thorne.wildwood@university.edu
STU292,Ivy,Vineyard,2027,Viticulture,Halal,"Napa, CA",Vineyard Commons,Unlimited,3.4,ivy.vineyard@university.edu
STU293,Hazel,Nutgrove,2025,Food Science,None,"Nashville, TN",Culinary Hall,14 Meals,3.8,hazel.nutgrove@university.edu
STU294,Maple,Sugarhouse,2026,Agricultural Economics,Vegetarian,"Burlington, VT",Sugar Pine,10 Meals,3.5,maple.sugarhouse@university.edu
STU295,Cedar,Evergreen,2024,Forestry,Vegan,"Spokane, WA",Timberline Hall,Flex Plan,3.6,cedar.evergreen@university.edu
STU296,Birch,Silverleaf,2027,Paper Engineering,None,"Portland, ME",Pulp Mill Commons,14 Meals,3.9,birch.silverleaf@university.edu
STU297,Aspen,Goldleaf,2025,Environmental Policy,Gluten-Free,"Aspen, CO",Highland Lodge,Unlimited,3.7,aspen.goldleaf@university.edu
STU298,Rowan,Redberry,2026,Nutrition Science,Lactose Intolerant,"Boston, MA",Health Commons,10 Meals,3.4,rowan.redberry@university.edu
STU299,Laurel,Greenway,2024,Landscape Architecture,Kosher,"Richmond, VA",Garden Hall,14 Meals,3.8,laurel.greenway@university.edu
STU300,Holly,Winterberry,2027,Seasonal Studies,Halal,"Fairbanks, AK",Arctic Lodge,Flex Plan,3.5,holly.winterberry@university.edu
STU301,Fern,Shadowmoss,2025,Mycology,None,"Eugene, OR",Mushroom Commons,Unlimited,3.6,fern.shadowmoss@university.edu
STU302,Moss,Greenstone,2026,Bryology,Vegetarian,"Seattle, WA",Rainforest Hall,14 Meals,3.9,moss.greenstone@university.edu
STU303,Lichen,Rockface,2024,Symbiosis Studies,Vegan,"Anchorage, AK",Tundra Tower,10 Meals,3.7,lichen.rockface@university.edu
STU304,Kelp,Seashore,2027,Marine Botany,None,"Monterey, CA",Kelp Forest Hall,Flex Plan,3.4,kelp.seashore@university.edu
STU305,Coral,Tidewaters,2025,Marine Biology,Gluten-Free,"Honolulu, HI",Reef Commons,14 Meals,3.8,coral.tidewaters@university.edu
STU306,Pearl,Oceandeep,2026,Malacology,Lactose Intolerant,"Mobile, AL",Shell Beach Hall,Unlimited,3.5,pearl.oceandeep@university.edu
STU307,Sand,Driftwood,2024,Coastal Engineering,Kosher,"Virginia Beach, VA",Dunes Commons,10 Meals,3.6,sand.driftwood@university.edu
STU308,Shell,Beachcomber,2027,Marine Archaeology,Halal,"Cape Cod, MA",Lighthouse Tower,14 Meals,3.9,shell.beachcomber@university.edu
STU309,Wave,Breakwater,2025,Ocean Engineering,None,"San Diego, CA",Surfside Hall,Flex Plan,3.7,wave.breakwater@university.edu
STU310,Tide,Moonpull,2026,Tidal Energy,Vegetarian,"Bar Harbor, ME",Coastal Commons,Unlimited,3.4,tide.moonpull@university.edu
STU311,Current,Jetstream,2024,Fluid Dynamics,Vegan,"Miami, FL",Flow Tower,14 Meals,3.8,current.jetstream@university.edu
STU312,Drift,Windborne,2027,Aerodynamics,None,"Corpus Christi, TX",Wind Hall,10 Meals,3.5,drift.windborne@university.edu
